Authenticated Message_ID,Freshness_Counter Tx_Length,MAC_Tx_Length,Counter Sync Message_ID,Key Slot Number,Security Flags (FID), TX_ECUs
100000511,5,1B,10000054C,2,4,VCU
100000780,40,20,000000000,2,4,VCU
100000517,5,1B,100000573,2,4,VCU
10000026E,5,1B,100000382,2,4,VCU
100000523,5,1B,100000569,2,4,VCU
100000519,5,1B,100000550,2,4,VCU
100000503,5,1B,100000537,2,4,VCU
10000036F,5,1B,10000057C,8,5,ECP_E
10000036F,5,1B,10000057C,7,5,PCM
10000036F,5,1B,10000057C,7,5,ECM
100000367,5,1B,10000056D,7,5,VICM
100000367,5,1B,10000056D,7,5,PCM
100000367,5,1B,10000056D,9,5,BSM_HEV
100000367,5,1B,10000056D,7,5,ECM
100000370,5,1B,10000057D,5,5,CGM
10000051F,5,1B,100000551,4,5,BCM
100000782,40,20,000000000,13,5,VKM
10000051A,5,1B,100000556,6,5,EBCM
10000051A,5,1B,100000556,6,5,EBCM_AV
100000512,5,1B,10000055A,4,5,BCM
10000052D,5,1B,100000571,10,5,ACP2_MCU
10000052D,5,1B,100000571,10,5,FCM
10000052D,5,1B,100000571,10,5,EOCM
10000052D,5,1B,100000571,10,5,EOCM_HCP1
10000052D,5,1B,100000571,10,5,ACP3_MCU
10000052D,5,1B,100000571,10,5,ACP4_MCU
10000036D,5,1B,100000578,12,5,SCL
100000266,5,1B,10000057A,8,5,ECP_E
100000266,5,1B,10000057A,7,5,PCM
100000266,5,1B,10000057A,7,5,ECM
10000027B,5,1B,1000002B6,6,5,EBCM
10000027B,5,1B,1000002B6,6,5,EBCM_AV
100000366,5,1B,100000577,3,5,AHS
100000366,5,1B,100000577,3,5,EPS
100000366,5,1B,100000577,3,5,EPS_1
100000368,5,1B,10000056E,7,5,PCM
100000368,5,1B,10000056E,7,5,ECM
100000368,5,1B,10000056E,11,5,TCCM
100000368,5,1B,10000056E,11,5,RDCM
10000047C,5,1B,10000047F,7,5,VICM
10000047C,5,1B,10000047F,9,5,BSM_HEV
100000371,5,1B,100000575,10,5,FCM
100000371,5,1B,100000575,10,5,EOCM
100000371,5,1B,100000575,10,5,EOCM_HCP1
100000371,5,1B,100000575,10,5,ACP3_MCU
100000371,5,1B,100000575,10,5,ACP4_MCU
100000524,5,1B,100000574,4,5,BCM
100000504,5,1B,100000538,4,5,BCM
